Folder,TOPS/W,Cycles,Computes,pJ_LMAC,pJ_PEWeightRegs,pJ_PEAccuBuffer,pJ_PEInputBuffer,pJ_GlobalBuffer,pJ_DRAM,pJ/Compute,Energy,Utilization,EDP
VGG01_layer6,33.68421052631579,7225344,1849688064,4.13,0.15,1.26,1.05,0.53,0.48,7.6,14062.53,1.0,102000.0
VGG01_layer1,15.22773623385452,387072,86704128,4.13,0.15,5.01,2.77,0.19,2.45,14.71,1275.32,0.88,494.0
VGG01_layer4,37.925925925925924,7225344,1849688064,4.13,0.15,1.26,0.67,0.19,0.36,6.75,12487.51,1.0,90200.0
VGG01_layer9_FC,0.12834882113671012,21931,262144,4.13,0.29,1.25,0.64,24.17,62.64,93.13,24.41,0.05,0.535
VGG01_layer10_FC,0.10670941712690313,471,5120,4.13,0.29,0.63,1.53,26.54,68.76,101.87,0.52,0.04,0.000246
VGG01_layer3,30.153121319199055,3612672,924844032,4.13,0.15,2.51,0.63,0.66,0.4,8.49,7848.29,1.0,28400.0
VGG01_layer8,31.644004944375773,1806336,462422016,4.13,0.16,1.25,0.71,1.1,0.73,8.09,3740.41,1.0,6760.0
VGG01_layer7,31.644004944375773,1806336,462422016,4.13,0.16,1.25,0.71,1.1,0.73,8.09,3740.41,1.0,6760.0
VGG01_layer5,32.73657289002557,3612672,924844032,4.13,0.15,1.26,0.84,0.81,0.61,7.82,7230.68,1.0,26100.0
VGG01_layer2,31.105710814094774,3612672,924844032,4.13,0.16,0.63,1.43,1.01,0.86,8.23,7607.89,1.0,27500.0
