Folder,TOPS/W,Cycles,Computes,pJ_LMAC,pJ_PEWeightRegs,pJ_PEAccuBuffer,pJ_PEInputBuffer,pJ_GlobalBuffer,pJ_DRAM,pJ/Compute,Energy,Utilization,EDP,Configuration
VGG01_layer3,37.59177679882526,3612672,924844032,2.46,0.15,2.51,0.63,0.66,0.4,6.81,6302.27,1.0,22800.0,3b1e
VGG01_layer2,39.083969465648856,3612672,924844032,2.46,0.16,0.63,1.43,1.01,0.86,6.55,6061.87,1.0,21900.0,3b1e
VGG01_layer6,44.06196213425129,7225344,1849688064,2.34,0.15,1.26,1.05,0.53,0.48,5.81,10739.38,1.0,77600.0,4b1e
VGG01_layer5,42.5249169435216,3612672,924844032,2.34,0.15,1.26,0.84,0.81,0.61,6.02,5569.11,1.0,20100.0,4b1e
VGG01_layer4,47.76119402985074,7225344,1849688064,2.74,0.15,1.26,0.67,0.19,0.36,5.36,9911.93,1.0,71600.0,5b1e
VGG01_layer8,38.78787878787879,1806336,462422016,2.64,0.16,1.25,0.71,1.1,0.73,6.6,3051.43,1.0,5510.0,6b1e
VGG01_layer7,38.49624060150376,1806336,462422016,2.69,0.16,1.25,0.71,1.1,0.73,6.65,3074.21,1.0,5550.0,7b2e
VGG01_layer9_FC,0.1307495702522622,21931,262144,2.42,0.29,1.25,0.64,24.17,62.64,91.42,23.97,0.05,0.526,7b4e
VGG01_layer1,16.842105263157894,387072,86704128,2.72,0.15,5.01,2.77,0.19,2.45,13.3,1152.81,0.88,446.0,8b3e
VGG01_layer10_FC,0.1070878565926275,471,5120,3.77,0.29,0.63,1.53,26.54,68.76,101.51,0.52,0.04,0.000245,15b4e
